Protocollo,DataOraIncidente,Localizzazione1,STRADA1,Localizzazione2,STRADA2,Strada02,Chilometrica,DaSpecificare,Longitude,Latitude
5468540,2021-06-16T17:45:00Z,Strada Urbana,VIA ANDREA DORIA,all'intersezione con,VIA PIETRO GIANNONE,VIA PIETRO GIANNONE,,,12.4509,41.9095
5468665,2021-06-16T18:30:00Z,Strada Urbana,VIA DI ACQUA BULLICANTE,all'intersezione semaforizzata con,VIA POLICASTRO,VIA POLICASTRO,,,12.5433,41.8828
5468797,2021-06-16T18:50:00Z,Strada Urbana,VIA ROVIGNO D'ISTRIA,da specificare,,,,intersezione con via Prenestina,12.5567,41.8949
5482168,2021-06-16T19:07:00Z,Strada Urbana,VIALE CRISTOFORO COLOMBO,da specificare,,,,prox. via canale della lingua,12.3464,41.7368
5468642,2021-06-16T19:50:00Z,Strada Urbana,PONTE VITTORIO EMANUELE II,all'intersezione semaforizzata con,LUNGOTEVERE VATICANO,LUNGOTEVERE VATICANO,,,12.4639,41.9015
5468267,2021-06-16T20:00:00Z,Strada Urbana,VIA DELLA MAGLIANA,da specificare,,,,intersezione rampa Viadotto Magliana direzione EUR,12.4196,41.8317
5468555,2021-06-16T20:00:00Z,Strada Urbana,VIA CALPURNIO FIAMMA,all'intersezione semaforizzata con,VIALE S. GIOVANNI BOSCO,VIALE S. GIOVANNI BOSCO,,,12.5611,41.8607
5468984,2021-06-16T21:10:00Z,Strada Urbana,VIA UMBERTO FRACCHIA,all'intersezione semaforizzata con,VIA RENATO FUCINI,VIA RENATO FUCINI,,,12.5502,41.9519
5468620,2021-06-17T00:30:00Z,Strada Urbana,VIA TUSCOLANA,all'intersezione con,VIA ROCCA DI PAPA,VIA ROCCA DI PAPA,,,12.536,41.8702
5468605,2021-06-17T02:40:00Z,Strada Urbana,VIA TUSCOLANA,all'intersezione con,VIALE GIULIO AGRICOLA,VIALE GIULIO AGRICOLA,,,12.5626,41.8566
5469038,2021-06-17T06:15:00Z,Strada Urbana,PIAZZA AUGUSTO IMPERATORE,da specificare,,,,altezza VIA DEI PONTEFICI,12.4771,41.906
5470503,2021-06-17T08:20:00Z,Strada Urbana,VIA CASILINA,all'intersezione con,VIA GIOVANNI CAMILLO PERESIO,VIA GIOVANNI CAMILLO PERESIO,,,12.5854,41.869
5468792,2021-06-17T09:25:00Z,Strada Urbana,VIA AUGUSTO DULCERI,all'intersezione con,VIA ISIDORO DI CARACE,VIA ISIDORO DI CARACE,,,12.5381,41.884
5470493,2021-06-17T09:30:00Z,Strada Urbana,VIA CASSIA,all'intersezione con,VIA RIDOLFO LIVI,VIA RIDOLFO LIVI,,,12.4137,41.9828
5469145,2021-06-17T09:50:00Z,Strada Urbana,VIA STATILIO OTTATO,all'intersezione con,VIA LICINIO STOLONE,VIA LICINIO STOLONE,,,12.5674,41.8556
5470577,2021-06-17T09:55:00Z,Strada Urbana,VIA GREGORIO VII,all'intersezione semaforizzata con,VIA S. DAMASO,VIA S. DAMASO,,,12.4447,41.8956
5469348,2021-06-17T10:20:00Z,Strada Urbana,VIA EMANUELE FILIBERTO,all'intersezione con,VIA FOSCOLO,VIA FOSCOLO,,,12.507,41.8899
